1	3	4	5	9	15	16	18	19	21	24	27
-0.0711271+0.0846943i	-0.0121372+0.143119i	-0.00656182-0.000963287i	-0.00663155-0.000951421i	0.00221955+0.00127097i	0.00303863+0.00198041i	-9.07903e-05-1.08517e-06i	-8.51306e-05+4.24226e-06i	0.00683857+0.00755879i	0.00897007+0.0112658i	-0.000291711-0.000192295i	-0.000367325-8.11984e-05i	-0.159497-0.0105044i	-0.159464-0.0104596i	-3.74487e-06+4.82951e-07i	-4.10515e-06-1.35878e-06i
-0.0557178+0.0834592i	0.0196188+0.119486i	-0.00796557+0.00242619i	-0.00804289+0.00244826i	0.00246859-3.53794e-05i	0.00352427-4.53597e-06i	-8.02463e-05+7.47683e-05i	-7.1912e-05+7.28872e-05i	0.00913548+0.00297014i	0.0130217+0.00433156i	-0.000430877+0.00026443i	-0.000353761+0.000131861i	-0.118214+0.105878i	-0.118164+0.105876i	-2.91291e-06+3.02489e-06i	-3.20355e-06+4.89677e-06i
-0.0490347+0.0880007i	0.0314961+0.0954464i	-0.00886059+0.00789411i	-0.00892883+0.00785748i	0.00207674-0.00104752i	0.00286434-0.0016512i	-1.17871e-05+0.000149329i	-7.7887e-06+0.000143013i	0.00906802-0.00138631i	0.0127349-0.00259063i	-0.000106012+0.000494003i	-0.000257148+0.00058606i	-0.00751296+0.155567i	-0.00748754+0.155523i	1.71946e-06+7.20315e-06i	2.72412e-06+5.77238e-06i
-0.0439736+0.0901793i	0.0399613+0.0753551i	-0.00629288+0.0146379i	-0.0063546+0.0145674i	0.00135998-0.00170125i	0.00169329-0.00265776i	0.000118338+0.000150635i	0.000118474+0.000145829i	0.00700659-0.0046719i	0.00939377-0.00785556i	0.000181847+0.000638888i	0.000306176+0.000651282i	0.104251+0.116158i	0.104229+0.116117i	1.02502e-05+1.11771e-06i	8.85302e-06+1.64206e-06i
-0.0412098+0.102975i	0.0327228+0.0575004i	0.00143989+0.0207834i	0.00147062+0.0207014i	0.000658743-0.00193168i	0.000330526-0.00287163i	0.000241156+3.09684e-05i	0.000238971+2.84937e-05i	0.00476124-0.0063247i	0.00459832-0.0101977i	0.000876249+0.000478596i	0.000809084+0.000449813i	0.160655+0.0155321i	0.160614+0.0155219i	5.47934e-06-1.00282e-05i	6.57315e-06-9.52394e-06i
-0.0306068+0.12299i	0.0252513+0.0596669i	0.0139009+0.0206424i	0.0140189+0.0205918i	8.25407e-05-0.00199369i	-0.000656622-0.00257278i	0.000224225-0.000178062i	0.000218828-0.000177865i	0.00252544-0.00733685i	0.000532918-0.0102728i	0.00105729-0.000473482i	0.00108348-0.000423137i	0.141168-0.0949609i	0.141133-0.0949355i	-5.5222e-06-9.58428e-06i	-5.61823e-06-1.05888e-05i
-0.000985133+0.141892i	0.0341196+0.0630751i	0.0220245+0.0114407i	0.0221127+0.0115096i	-0.00050129-0.00208195i	-0.00143354-0.00217623i	4.27965e-05-0.000276066i	3.74596e-05-0.000272817i	0.000583047-0.00809215i	-0.00276758-0.00956377i	0.000359686-0.000971478i	0.000395326-0.000964823i	0.0608359-0.168873i	0.0608356-0.168833i	-1.05288e-05-2.19467e-06i	-1.14724e-05-1.7399e-06i
0.0387545+0.143751i	0.04229+0.0627145i	0.023357+0.00384429i	0.023285+0.00397608i	-0.00127592-0.00199433i	-0.00201817-0.00156886i	-0.000102364-0.000235283i	-0.000103652-0.000232644i	-0.00247909-0.00888135i	-0.00568423-0.0080826i	-8.58065e-05-0.000881829i	-4.30027e-05-0.000951428i	-0.0446097-0.181963i	-0.0445872-0.18194i	-9.65075e-06+6.32158e-06i	-8.65769e-06+7.18099e-06i
0.0726586+0.123576i	0.0619746+0.0591359i	0.0256974-0.000730804i	0.0255414-0.000749842i	-0.00207798-0.00146838i	-0.00246359-0.000922614i	-0.00020422-0.000180515i	-0.000202205-0.000177754i	-0.00607303-0.0075013i	-0.00804681-0.00598694i	-0.000482996-0.000955941i	-0.000593471-0.000961788i	-0.137052-0.135529i	-0.137025-0.135524i	-1.96896e-06+1.24593e-05i	-1.61138e-06+1.08161e-05i
0.0846389+0.0988276i	0.0804583+0.0340183i	0.0304079-0.0101911i	0.0304628-0.0103277i	-0.0024745-0.000588425i	-0.00278935-1.26613e-05i	-0.000327167-7.20777e-05i	-0.000324646-6.69686e-05i	-0.00822213-0.00494559i	-0.0101029-0.00307477i	-0.00121314-0.000593575i	-0.00111617-0.000488067i	-0.189346-0.0494952i	-0.18932-0.0495026i	8.31639e-06+9.93282e-06i	6.35139e-06+1.05664e-05i
0.094316+0.0965075i	0.0731739-0.00366265i	0.0237686-0.0281728i	0.0239638-0.0280604i	-0.00247447+0.000106645i	-0.00261474+0.00111825i	-0.000320415+0.000189755i	-0.000318876+0.000192527i	-0.00942557-0.00220688i	-0.0107561+0.00125432i	-0.00135308+0.000418632i	-0.00130788+0.000218204i	-0.190817+0.0483996i	-0.190793+0.0483725i	1.24711e-05+6.28805e-07i	1.42443e-05+2.27347e-06i
